id,number,name,description,numCredits,numCredits,numCredits
14,ACCT 488,Governmental and Non-profit Institution Accounting,"Accounting and financial reporting principles of local and state governments, including universities, schools, and hospitals.  In addition, accounting and financial reporting of non-profit organizations will be addressed.  Financial statements of local governmental units and the university are explored.",,3,3
15,ACCT 490,Independent Study,,,1-3,1-3
16,ACCT 495,Advanced Accounting Problems,"Accounting for business combinations and affiliated companies, intercompany transactions, and consolidated financial statements; Partnership accounting;  Segment and Interim Reporting;  Multinational accounting.",,3,3
17,ACCT 496,International Accounting,"Financial reporting issues in a global environment, including introduction to International Financial Reporting Standards (IFRS) and the potential for the use of IFRS in the U.S. Accounting and managerial issues faced by multinational corporations. Technical issues such as transfer pricing, inflation accounting and taxation will be discussed.",,3,3
18,ACCT 497,Introduction to Auditing,"The conceptual framework of auditing. Professional ethics. External reporting concepts. Audit methodology including risk analysis, internal control, procedures for gathering evidence and the role of statistical sampling in auditing.",,3,3
19,ACCT 498,Capstone in Accounting,"Integrative studies in accounting. Development of critical thinking, ethical reasoning, professional research and teamwork skills. Written, visual, and oral communication with corporate stakeholders.",,2,2
20,ACCT 501,Financial Accounting,"A general introduction to financial accounting information. Topics covered include the use and analysis of financial information, the regulatory environment, the role of International Financial Reporting Standards (IFRS), and the use of the internet and electronic spreadsheets as a means of accessing and analyzing financial data.",,3,3
21,ACCT 581,Accounting for Decision Making,Decision analysis applied to managerial accounting issues. Generation of information for management decision making and control. Responsibility accounting and non-recurring decisions.,,3,3
22,ACCT 582,Corporate Governance and Top Management,"Duties, structure, and functioning of top management teams and corporate boards of directors. CEO/board tenure and succession planning, top management compensation, board committee composition, assessment of CEO and board performance, theories of corporate governance, management of the corporate strategic agenda, governance codes, international governance, and chairman/CEO duality. Case studies and contemporary issues discussed.",,3,3
23,ACCT 583,Advanced Managerial Accounting,"Business simulation focusing on generation and communication of information to assist management with financial decision-making. Emphasis on developing teamwork, written communication, and oral presentation skills.",,3,3
24,ACCT 584,Advanced Accounting Information Systems,"Advanced accounting information systems concepts; database design and information retrieval, internal controls within computerized accounting information systems, financial reporting in an electronic environment.",,3,3
25,ACCT 585,Taxes and Business Strategy,"Integration of concepts from accounting, finance, and economics to determine how taxes affect business decisions. Provides students with a conceptual framework for thinking about business tax planning and applies it to various common business decisions.",,3,3
26,ACCT 586,Advanced Federal Taxation,"Advanced coverage of federal taxation including issues related to the taxation of corporations, partnerships, estates and trusts, and their owners. Includes coverage of rules, concepts, background, and planning opportunities related to a number of common transactions involving these entities.",,3,3
27,ACCT 587,Volunteer Income Tax Assistance,"Introduction to and field work in the preparation of individual income tax returns (state and federal). Basic coverage of filing and residency status, taxable income, exemptions, deductions, and credits. Tax software usage and online filing.",,1,1
28,ACCT 588,Governmental and Non-profit Institution Accounting,"Accounting and financial reporting principles of local and state governments, including universities, schools, and hospitals.  In addition, accounting and financial reporting of non-profit organizations will be addressed.  Financial statements of local governmental units and the university are explored.",,3,3
29,ACCT 590,Special Topics,For students wishing to do individual research in a particular area of accounting.,,1-3,3-Jan
30,ACCT 591,Fraud Examination and Prevention,"Principles and methodology of fraud detection and deterrence. Addresses the causes and elements of fraud, asset theft, corruption, financial statement mis-representation, internal controls for fraud prevention, investigative evidence gathering, and legal aspects of fraud.",,3,3
31,ACCT 592,Financial Statement Analysis,"Presentation and analysis of financial statement information from the point of view of the primary users of such data: owners and creditors. Topics include the financial reporting system, the primary financial statements, effects of accounting method choice on reported financial data, and firm valuation.",,3,3
32,ACCT 594,Business Valuation,Using financial statement analysis to value the firm. Topics covered include assessing how well a firm's financial statements reflect the economic effects of its resource management strategies and constructing proforma financial information that will serve as inputs to valuation models.,,3,3
33,ACCT 595,Advanced Accounting Problems,"Accounting for business combinations and affiliated companies, intercompany transactions, and consolidated financial statements; Partnership accounting;  Segment and Interim Reporting;  Multinational accounting.",,3,3
34,ACCT 596,International Accounting,"Financial reporting issues in a global environment, including introduction to International Financial Reporting Standards (IFRS) and the potential for the use of IFRS in the U.S. Accounting and managerial issues faced by multinational corporations. Technical issues such as transfer pricing, inflation accounting and taxation will be discussed.",,3,3
35,ACCT 597,Advanced Auditing and Assurance Services,"A study of advanced auditing and assurance issues. Topics include risk analysis, internal control, fraud detection, analytical procedures, evaluating operational and strategic objectives, and reporting and implementing audit findings.",,3,3
36,ACCT 598,Financial Accounting: Theory and Contemporary Issues,"Theoretical discussion of the financial accounting and reporting environment. The usefulness of financial accounting information for decision making. Current financial accounting issues, the financial accounting standard setting process,  FASB Standards Codification, and the role of the SEC in financial reporting.",,3,3
37,ACCT 599,Creative Component,This course prepares students to complete their creative component project option in the Master of Accounting degree.,,2,2
38,ADVRT 230,Advertising Principles,"Historical, social, economic and legal aspects of advertising. Evaluations of advertising research, media, strategy and appeals. Study of the creation of advertising.",,3,3
39,ADVRT 301,Research and Strategic Planning for Advertising and Public Relations,"The use of primary and secondary research for situations, organizations and the public.  Formation and development of strategic plans for public relations and advertising students.",,3,3
40,ADVRT 334,Advertising Creativity,"Development and execution of creative advertising materials. Copywriting, art direction and computer applications. Creative strategy development, execution and evaluation.",,3,3
41,ADVRT 335,Advertising Media Planning,"Concepts of media planning and selection in the development, execution and evaluation of advertising campaigns. Characteristics and capabilities of the advertising media. Utilization of market segmentation, consumer buying and media audience databases.",,3,3
42,ADVRT 336,Advertising Account Management,"Fundamentals of account management with emphasis on leadership, sales techniques, relationship building, presentation skills, and strategic thinking. Includes aspects of agency communications, team building, client management, evaluating creative concepts and media plans, and developing strategic proposals and campaign recommendations.",,3,3
43,ADVRT 390,Professional Skills Development,Check with Greenlee School for course availability.,,1-3,3-Jan
44,ADVRT 434,Advertising Campaigns,"Development of advertising campaigns for business and social institutions. Projects involve budgeting, media selection, market analysis, campaign strategy and creative execution.",,3,3
45,ADVRT 435,Advertising Competition,Preparation of materials for regional and national competitions.,,1-3,3-Jan
46,ADVRT 436,Advertising Portfolio Practicum,"Advanced advertising writing and design. Emphasis on creative strategy, problem solving and execution of creative materials in print, broadcast and online media for a variety of clients.",,3,3
47,ADVRT 497,Special Topics in Communication,Seminars or one-time classes on topics of relevance to students in communication.,,1-3,3-Jan
48,ADVRT 499,Professional Media Internship,"Required of all Greenlee School majors. A 400-hour (for 3 credits) internship in the student's journalism and mass communication or advertising or public relations specialization. Assessment based on employer evaluations, student reports and faculty reviews. Available only to Greenlee School majors.   Offered on a satisfactory-fail basis only.",,1-3,3-Jan
49,ADVRT 499A,Professional Media Internship: Required,"Initial, required internship. A 400-hour (for 3 credits) internship in the student's specialization. Assessment based on employer evaluations, student reports and faculty reviews. Available only to Greenlee School majors.   Offered on a satisfactory-fail basis only.",,3,3
50,ADVRT 499B,Professional Media Internship: Optional,"Optional internship in the student's specialization. Assessment based on employer evaluations, student reports and faculty reviews. Available only to Greenlee School majors.   Offered on a satisfactory-fail basis only.",,1-3,3-Jan
51,AER E 101H,Engineering Honors Orientation,"Introduction to the College of Engineering and the Aerospace Engineering profession. Information concerning university, college, and department policies, procedures and resources with emphasis on the  Freshman Honors Program. Topics include experiential education study abroad opportunities, and department mentorships.",,R,R
52,AER E 112,Orientation to Learning and Productive Team Membership,"Introduction to developing intentional learners and worthy team members. Learning as the foundation of human enterprise; intellectual curiosity; ethics as a personal responsibility; everyday leadership; effective team and community interactions including team learning and the effects on individuals; and growth through understanding self, demonstrating ownership of own learning, and internalizing commitment to helping others. Intentional mental processing as a means of enhancing learning. Interconnectedness of the individual, the community, and the world.",,2,2
53,AER E 160,Aerospace Engineering Problems With Computer Applications Laboratory,Solving aerospace engineering problems and presenting solutions through technical reports. Significant figures and estimation. SI units. Graphing and curve fitting. Introduction to aerospace engineering and engineering design. Spreadsheet programs. History of aerospace. Systems thinking. Team projects.,,3,3
54,AER E 160H,Aerospace Engineering Problems With Computer Applications Laboratory: Honors,Solving aerospace engineering problems and presenting solutions through technical reports. Significant figures. SI units and estimation. Graphing and curve fitting. Introduction to aerospace engineering and engineering design. Spreadsheet programs. History of aerospace. Systems thinking. Team projects.,,3,3
55,AER E 161,"Numerical, Graphical  and Laboratory Techniques for Aerospace Engineering","Computer solutions to aerospace engineering problems using the FORTRAN language and Matlab(R), with emphasis on numerical methods. Solid modeling with emphasis on aerospace design. Analysis of basic mathematical models and engineering problem solving. Written and oral technical reports, team projects.",,3,3
56,AER E 161H,"Numerical, Graphical and Laboratory Techniques for Aerospace Engineering: Honors","Computer solutions to aerospace engineering problems using the FORTRAN language and Matlab(R), with emphasis on numerical methods. Solid modeling with emphasis on aerospace design. Analysis of basic mathematical models and engineering problem solving. Written and oral technical reports, team projects.",,3,3
57,AER E 192,Aerospace Seminar,"Experimental lab set-up, graphical skills. Academic program planning.",,R,R
58,AER E 192H,Aerospace Seminar: Honors.,"Experimental lab set-up, graphical skills. Academic program planning.",,R,R
59,AER E 261,Introduction to Performance and Design,"Introduction to aerospace disciplinary topics, including: aerodynamics, structures, propulsion, and flight dynamics with emphasis on performance. Written technical reports and team projects.",,3,3
60,AER E 265,Scientific Balloon Engineering and Operations,"Engineering aspects of scientific balloon flights. Integration of science mission objectives with engineering requirements. Operations team certification. FAA and FCC regulations, communications, and command systems. Flight path prediction and control.",,1,1
61,AER E 290,Aerospace Engineering Independent Study: Independent Study,,,1-2,2-Jan
62,AER E 290A,Aerospace Engineering Independent Study: Flight ground instruction,,,1-2,2-Jan
63,AER E 290B,Aerospace Engineering Independent Study: In-flight training,,,1-2,2-Jan
64,AER E 290C,Aerospace Engineering Independent Study: Other,,,1-2,2-Jan
65,AER E 291,Aerospace Advising Seminar,Academic program planning.   Offered on a satisfactory-fail basis only.,,R,R
66,AER E 292,Aerospace Advising Seminar,Academic program planning.   Offered on a satisfactory-fail basis only.,,R,R
67,AER E 298,Cooperative Education,First professional work period in the cooperative education program. Students must register for this course prior to commencing work.   Offered on a satisfactory-fail basis only.,,R,R
68,AER E 301,Flight Experience,Two hours of in-flight training and necessary ground instruction. Course content prescribed by the Aerospace Engineering  Department. Ten hours of flight training certified in a pilot log book can be considered by the course instructor as evidence of satisfactory performance in the course.   Offered on a satisfactory-fail basis only.,,R,R
69,AER E 310,Aerodynamics I: Incompressible Flow,Introduction to fluid mechanics and aerodynamics. Fluid properties and kinematics. Conservation equations in differential and integral form. Bernoulli's equation. Basic potential flow concepts and solutions. Boundary layer concept.  Incompressible flow over airfoils and wings. Examples of numerical methods. Applications of multi-variable calculus to fluid mechanics and aerodynamics.,,3,3
70,AER E 311,Aerodynamics II: Compressible Flow,"Review of thermodynamics, energy equation, compressible flow, and isentropic flow. Normal and oblique shocks. Mach waves and expansion fans. Applications to ducts and nozzles. Compressible airfoil and wing theory.  Introduction to advanced compressible flow topics.",,3,3
71,AER E 321,Flight Structures Analysis,"Introduction to elasticity, airworthiness, and flight loads. Introduction to fatigue. Materials selection for flight applications. Thin walled cross-sections under bending, torsion, and shear loads using classical methods. Shear center. Column buckling. Matrix methods of structural analysis.",,3,3
72,AER E 322,Aerospace Structures Laboratory,Design of experiments. Data analysis. Strain gage installation. Measurement of stiffness/strength of aluminum. Analysis/fabrication/testing of riveted joints. Shear/bending measurements inbeam sections. Analysis/measurement of strains in frames. Buckling of columns. Stress concentration. Vibration testing of beams and plates. Fabrication/testing of composites.,,2,2
73,AER E 331,Flight Control Systems I,Linear system analysis. Control system designs using root-locus and frequency response methods. Applications in flight control systems.,,3,3
74,AER E 344,Aerodynamics and Propulsion Laboratory,Similitude and dimensional analysis. Measurement uncertainty analysis. Pressure and velocity measurement methods and instruments. Pressure distribution around a circular cylinder. Aerodynamic performance of low-speed airfoils. Airfoil wake flow; Boundary layer flow. Flow visualization techniques for supersonic flows and de Laval nozzles.,,3,3
75,AER E 351,Astrodynamics I,"Introduction to astrodynamics. Two-body motion. Geocentric, lunar and interplanetary trajectories and applications. Launch and atmospheric re-entry trajectories.",,3,3
76,AER E 355,Aircraft Flight Dynamics and Control,"Aircraft rigid body equations of motion, linearization, and modal analysis. Longitudinal and lateral-directional static and dynamic stability analysis. Flight handling characteristics analysis. Longitudinal and lateral-directional open loop response to aircraft control inputs. Aircraft flight handling qualities.",,3,3
77,AER E 361,Computational Techniques for Aerospace Design,"Advanced programming, workstation environment, and development of computational tools for aerospace analysis and design. Technical report writing.",,3,3
78,AER E 362,Aerospace Systems Integration,"Emphasis on impact of component interfaces in aerospace systems. Understand how changes in variables associated with individual components impact the performance of the aerospace system. Specific integration challenges include: capturing implicit disciplinary interactions (e.g. structures/aerodynamics, propulsion/aerodynamics, etc.), propagating tolerances through the system (i.e. uncertainty modeling), balancing component attributes in the system objective.",,3,3
79,AER E 381,Introduction to Wind Energy,"Basic introduction to the fundamentals of Wind Energy and Wind Energy conversion systems. Topics include but not limited to various types of wind energy conversion systems and the aerodynamics, blade and tower structural loads, kinematics of the blades and meteorology.",,3,3
80,AER E 391,Aerospace Advising Seminar,Academic program planning.   Offered on a satisfactory-fail basis only.,,R,R
81,AER E 392,Aerospace Advising Seminar,Academic program planning.   Offered on a satisfactory-fail basis only.,,R,R
82,AER E 396,Summer Internship,Summer professional work period. Students must register for this course prior to commencing work.   Offered on a satisfactory-fail basis only.,,R,R
83,AER E 397,Engineering Internship,"Students must register for this course prior to commencing work.   Offered on a satisfactory-fail basis only.  Professional work period, one semester maximum per academic year.",,R,R
84,AER E 398,Cooperative Education,Second professional work period in the cooperative education program. Students must register for this course prior to commencing work.   Offered on a satisfactory-fail basis only.,,R,R
85,AER E 411,Aerospace Vehicle Propulsion I,"Atmospheric propulsion system performance and cycle analysis. Momentum theorem, thrust and propulsive efficiency. Thermodynamics of compressible flow with heat and work addition. Components and principles of turbojets and turbofans. Rocket engines and ramjet principles.",,3,3
86,AER E 412,Aerospace Vehicle Propulsion II,Electricity and magnetism. Plasma physics. Ion engine performance. Introduction to advanced electromagnetic propulsion systems. Energy sources and nuclear propulsion. Space mission requirements.,,3,3
87,AER E 417,Experimental Mechanics,"Introduction to fundamental concepts for force, displacement, stress and strain measurements for structures and materials applications.  Strain gage theory and application.  Full field deformation measurements with laser interferometry and digital image processing.  Advanced experimental concepts at the micro- and nano-scale regimes.  Selected laboratory experiments.",,3,3
88,AER E 421,Advanced Flight Structures,"Analysis of indeterminate flight structures including finite element laboratory. Static analysis of complex structural components subject to thermal and aerodynamic loads. Analytical and finite element solutions for stresses and displacements of membrane, plane stress, plate structures. Buckling of beams, frames, and plate structures. Introduction to vibration of flight structures. Steady state and transient structural response using normal modal analysis.",,3,3
89,AER E 422,Vibrations and Aeroelasticity,"Vibration theory. Steady and unsteady flows. Mathematical foundations of aeroelasticity, static and dynamic aeroelasticity.  Linear unsteady aerodynamics, non-steady aerodynamics of lifting surfaces. Stall flutter. Aeroelastic problems in civil engineering structures. Aeroelastic problems of rotorcraft. Experimental aeroelasticity. Selected wind tunnel laboratory experiments.",,3,3
90,AER E 423,Composite Flight Structures,"Fabrication, testing and analysis of composite materials used in flight structures. Basic laminate theory of beams, plates and shells. Manufacturing and machining considerations of various types of composites. Testing of composites for material properties, strength and defects. Student projects required.",,3,3
91,AER E 426,Design of Aerospace Structures,"Detailed design and analysis of aerospace vehicle structures. Material selection, strength, durability and damage tolerance, and validation analysis. Design for manufacturability.",,3,3
92,AER E 432,Flight Control Systems II,Aircraft lateral directional stability augmentation. Launch vehicle pitch control system design. Control of flexible vehicles. Satellite attitude control. Flight control designs based on state-space methods. Introduction to sample-data systems.,,3,3
93,AER E 433,Spacecraft Dynamics and Control,Three-dimensional rotational kinematics and attitude dynamics of a rigid body in space.  Stability analysis of a spinning spacecraft with or without energy dissipation.  Attitude dynamics and stability of a satellite in circular orbit.  Introduction to spacecraft attitude determination and control systems (ADCS).  Simulation of spacecraft attitude-dynamics and control problems of practical interest using MATLAB.,,3,3
94,AER E 442,V/STOL Aerodynamics and Performance,"Introduction to the aerodynamics, performance, stability, control and critical maneuvering characteristics of V/STOL vehicles. Topics include hovercrafts, jet flaps, ducted fans and thrust vectored engines.",,3,3
95,AER E 446,Computational Fluid Dynamics,"Introduction to computational fluid dynamics. Discretization, consistency, and stability. Explicit and implicit methods for ordinary and partial differential equations. Linearization techniques. Iterative and direct solution algorithms. Numerical methods for parabolic, elliptic and hyperbolic equations. Curvilinear coordinates and numerical grid generation. Applications to Euler, boundary-layer and Navier-Stokes equations.",,3,3
96,AER E 448,Fluid Dynamics of Turbomachinery,Applications of principles of fluid mechanics and thermodynamics in performance analysis and design of turbomachines. Conceptual and preliminary design of axial and radial flow compressors and turbines using velocity triangles and through-flow approaches.,,3,3
97,AER E 451,Astrodynamics II,"Orbit determination and prediction using Gibb's and Gauss' methods. Advanced orbit maneuvers, triple-, and fixed-impulse; universal variables; Kepler's problem. Earth gravity field models and gravity harmonics, orbit perturbations, advanced dynamics, variational methods, relative orbital mechanics, and Clohessy-Wiltshire equations.",,3,3
98,AER E 461,Modern Design Methodology with Aerospace Applications,"Introduction to modern engineering design methodology. Computational constrained optimal design approach including selection of objective function, characterization of constraint system, materials and strength considerations, and sensitivity analyses.",,3,3
99,AER E 462,Design of Aerospace Systems,"Fundamental principles used in engineering design of aircraft, missile, and space systems. Preliminary design of aerospace vehicles. Engineering Ethics.",,3,3
100,AER E 463,Introduction to Multidisciplinary Design Optimization,"Introduction to the theory and methods of Multidisciplinary Design Optimization (MDO), including system coupling, system sensitivity methods, decomposition methods, MDO formulations (such as multi-discipline feasible (MDF), individual discipline feasible (IDF) and all-at-once (AAO) approaches, and MDO search methods.",,3,3
101,AER E 464,Spacecraft Systems,"An examination of spacecraft systems including attitude determination and control, power, thermal control, communications, propulsion, guidance, navigation, command and data handling, and mechanisms. Explanation of space and operational environments as they impact spacecraft design. Includes discussion of safety, reliability, quality, maintainability, testing, cost, legal, and logistics issues.",,3,3
102,AER E 466,Multidisciplinary Engineering Design,"Application of team design concepts to projects of a multidisciplinary nature. Concurrent treatment of design, manufacturing and life cycle considerations. Application of design tools such as CAD, CAM and FEM. Design methodologies, project scheduling, cost estimating, quality control, manufacturing processes. Development of a prototype and appropriate documentation in the form of written reports, oral presentations, computer models and engineering drawings.",,3,3
103,AER E 467,Multidisciplinary Engineering Design II,"Build and test of a conceptual design. Detail design, manufacturability, test criteria and procedures. Application of design tools such as CAD and CAM and manufacturing techniques such as rapid prototyping. Development and testing of a full-scale prototype with appropriate documentation in the form of design journals, written reports, oral presentations and computer models and engineering drawings.",,3,3
104,AER E 468,Large-Scale Complex Engineered Systems (LSCES),"Introduction to the theoretical foundation and methods associated with the design for large-scale complex engineered systems, including objective function formation, design reliability, value-driven design, product robustness, utility theory, economic factors for the formation of a value function and complexity science as a means of detecting unintended consequences in the product behavior.",,3,3
105,AER E 480,Ultrasonic Nondestructive Evaluation,"Introduction to stress/strain, HookeÃ¢â‚¬â„¢s law, and elastic wave propagation in two dimensions in isotropic media. Ultrasonic plane-wave reflection and transmission; and simple straight-crested guided waves. Transducer construction, behavior, and performance. Simple signal analysis and discrete signal processing. The last few weeks of the course are devoted to case studies.",,3,3
106,AER E 481,Advanced Wind Energy: Technology and Design,"Advanced topics in wind energy, emphasis on current practices. Theoretical foundations for horizontal and vertical axis wind turbine. Design codes for energy conversion systems design, aerodynamic and structural load estimation, wind resource characterization wind farm design, optimization.",,3,3
107,AER E 490,Aerospace Engineering Independent Study,,,1-6,6-Jan
108,AER E 490A,Aerospace Engineering Independent Study: Aero and/or Gas Dynamics,,,1-6,6-Jan
109,AER E 490B,Aerospace Engineering Independent Study: Propulsion,,,1-6,6-Jan
110,AER E 490C,Aerospace Engineering Independent Study: Aerospace Structures,,,1-6,6-Jan
111,AER E 490D,Aerospace Engineering Independent Study: Flight Dynamics,,,1-6,6-Jan
112,AER E 490E,Aerospace Engineering Independent Study: Spacecraft Systems,,,1-6,6-Jan
113,AER E 490F,Aerospace Engineering Independent Study: Flight Control Systems,,,1-6,6-Jan
114,AER E 490G,Aerospace Engineering Independent Study: Aeroelasticity,,,1-6,6-Jan
115,AER E 490H,"Aerospace Engineering Independent Study: Independent Study, Honors",,,1-6,6-Jan
116,AER E 490I,Aerospace Engineering Independent Study: Design,,,1-6,6-Jan
117,AER E 490J,Aerospace Engineering Independent Study: Non-destructive Evaluation,,,1-6,6-Jan
118,AER E 490K,Aerospace Engineering Independent Study: Wind Engineering,,,1-6,6-Jan
119,AER E 490L,Aerospace Engineering Independent Study: Multi-functional Ultra-light Structures,,,1-6,6-Jan
120,AER E 490O,Aerospace Engineering Independent Study: Other,,,1-6,6-Jan
121,AER E 491,Aerospace Advising Seminar,Academic program planning.,,R,R
122,AER E 498,Cooperative Education,Third and subsequent professional work periods in the cooperative education program. Students must register for this course before commencing work.   Offered on a satisfactory-fail basis only.,,R,R
123,AER E 499,Senior Project,Development of aerospace principles and concepts through individual research and projects. Written report.,,1-2,2-Jan
124,AER E 514,Advanced Mechanics of Materials,"Theory of stress and strain, stress-strain relationships. Unsymmetrical bending, curved beams, shear center. Torsion of thin-walled noncircular sections. Equilibrium, compatibility equations. Airy stress functions. Membrane stresses in shells, thick-walled cylinders.",,3,3
125,AER E 517,Experimental Mechanics,"Fundamental concepts for force, displacement, stress, and strain measurements. Strain gages. Full field deformation measurements with laser interferometry and digital image processing. Advanced experimental concepts at the micro and nano scale regimes.",,4,4
126,AER E 521,Airframe Analysis,Analysis of static stresses and deformation in continuous aircraft structures. Various analytical and approximate methods of analysis of isotropic and anisotropic plates and shells.,,3,3
127,AER E 522,Design and Analysis of Composite Materials,"Composite constituent materials, micro-mechanics, laminate analysis, hygro-thermal analysis, composite failure, joining of composites, design of composite beams and plates, honeycomb core, manufacturing of composites, short fiber composites, and demonstration laboratory.",,3,3
128,AER E 524,Numerical Mesh Generation,"Introduction to modern mesh generation techniques. Structured and unstructured mesh methods, algebraic and PDE methods, elliptic and hyperbolic methods, variational methods, error analysis, Delaunay triangulation, data structures, geometric modeling with B-spline and NURBS surfaces, surface meshing.",,3,3
129,AER E 525,Finite Element Analysis,"Variational and weighted residual approach to finite element equations. Emphasis on two- and three-dimensional problems in solid mechanics. Isoparametric element formulation, higher order elements, numerical integration, imposition of constraints and penalty, convergence, and other more advanced topics. Use of two- and three-dimensional computer programs. Dynamic and vibrational problems, eigenvalues, and time integration. Introduction to geometric and material nonlinearities.",,3,3
130,AER E 531,Automatic Control of Flight Vehicles,Applications of classical and modern linear control theory to automatic control of flight vehicles. Spacecraft attitude control. Control of flexible vehicles. Linear-quadratic regulator design applications.,,3,3
131,AER E 532,Compressible Fluid Flow,"Thermodynamics of compressible flow. Viscous and inviscid compressible flow equations. One dimensional steady flow; isentropic flow, shocks, expansions. Multidimensional compressible flow aspects. Linear and nonlinear wave analysis and method of characteristics. Subsonic, transonic, supersonic and hypersonic flows.",,3,3
132,AER E 541,Incompressible Flow Aerodynamics,"Kinematics and dynamics of fluid flow. Derivation of the Navier-Stokes, Euler and potential flow equations. Introduction to generalized curvilinear coordinates. Ideal fluids. Two-dimensional and three-dimensional potential flow. Complex variable methods.",,3,3
133,AER E 545,Experimental Flow Mechanics and Heat Transfer,"Similitude and dimensional analysis. Measurement uncertainty analysis; Fluid mechanical apparatus: wind tunnel and water tunnels. Various experimental techniques widely used for fluid mechanics, aerodynamics, heat transfer, and combustion studies: Pressure gauge and transducers; Pitot tube; hot wire anemometry; Shadowgraph and Schlieren Photography; laser Doppler velocimetry; particle image velocimetry (PIV); advanced PIV techniques (stereo PIV, 3-D PIV, Tomographic PIV, Holograph PIV and microscopic PIV); laser induced fluorescence; pressure sensitive painting, temperature sensitive painting; molecular tagging velocimetry; molecular tagging thermometry. Extensive applications and laboratory experiments will be included.",,3,3
134,AER E 546,Computational Fluid Mechanics and Heat Transfer I,"Basic concepts of discretization, consistency, and stability. Explicit and implicit methods for ordinary differential equations. Methods for each type of partial differential equation.  Iterative solution methods; curvilinear grids. Students will program basic algorithms.",,3,3
135,AER E 547,Computational Fluid Mechanics and Heat Transfer II,"Application of computational methods to current problems in fluid mechanics and heat transfer. Methods for solving the Navier-Stokes and reduced equation sets such as the Euler, boundary layer, and parabolized forms of the conservation equations. Introduction to relevant aspects of grid generation and turbulence modeling.",,3,3
136,AER E 551,Orbital Mechanics,Review of 2-body problem. Orbital maneuvers. Relative motion in orbit. Orbit perturbation analysis. Gravity field expansions and effects on orbiters. 3-body problem with applications.,,3,3
137,AER E 556,Guidance and Navigation of Aerospace Vehicles,"Principles of guidance systems for spacecraft, launch vehicles, homing and ballistic missiles. Optimal guidance. Interplanetary transfer guidance with low thrust. Principles of inertial navigation. Theory and applications of the Global Positioning System. Celestial navigation procedures. Application of Kalman filtering to recursive navigation theory.",,3,3
138,AER E 563,Introduction to Multidisciplinary Design Optimization,"Introduction to the theory and methods of Multidisciplinary Design Optimization (MDO), including system coupling, system sensitivity methods, decomposition methods, MDO formulations (such as multi-discipline feasible (MDF), individual discipline feasible (IDF) and all-at-once (AAO) approaches, and MDO search methods.",,3,3
