id,number,name,description,prereqs,numCredits,departmentID
51,"AER E 101H","Engineering Honors Orientation","Introduction to the College of Engineering and the Aerospace Engineering profession. Information concerning university, college, and department policies, procedures and resources with emphasis on the  Freshman Honors Program. Topics include experiential education study abroad opportunities, and department mentorships.","Membership in the Freshman Honors Program",R,3
52,"AER E 112","Orientation to Learning and Productive Team Membership","Introduction to developing intentional learners and worthy team members. Learning as the foundation of human enterprise; intellectual curiosity; ethics as a personal responsibility; everyday leadership; effective team and community interactions including team learning and the effects on individuals; and growth through understanding self, demonstrating ownership of own learning, and internalizing commitment to helping others. Intentional mental processing as a means of enhancing learning. Interconnectedness of the individual, the community, and the world.",,2,3
53,"AER E 160","Aerospace Engineering Problems With Computer Applications Laboratory","Solving aerospace engineering problems and presenting solutions through technical reports. Significant figures and estimation. SI units. Graphing and curve fitting. Introduction to aerospace engineering and engineering design. Spreadsheet programs. History of aerospace. Systems thinking. Team projects.","MATH 143 or satisfactory scores on mathematics placement examinations; credit or enrollment in MATH 165",3,3
54,"AER E 160H","Aerospace Engineering Problems With Computer Applications Laboratory: Honors","Solving aerospace engineering problems and presenting solutions through technical reports. Significant figures. SI units and estimation. Graphing and curve fitting. Introduction to aerospace engineering and engineering design. Spreadsheet programs. History of aerospace. Systems thinking. Team projects.","MATH 143 or satisfactory scores on mathematics placement examinations; credit or enrollment in MATH 165",3,3
55,"AER E 161","Numerical, Graphical  and Laboratory Techniques for Aerospace Engineering","Computer solutions to aerospace engineering problems using the FORTRAN language and Matlab(R), with emphasis on numerical methods. Solid modeling with emphasis on aerospace design. Analysis of basic mathematical models and engineering problem solving. Written and oral technical reports, team projects.","AER E 160 or equivalent course",3,3
56,"AER E 161H","Numerical, Graphical and Laboratory Techniques for Aerospace Engineering: Honors","Computer solutions to aerospace engineering problems using the FORTRAN language and Matlab(R), with emphasis on numerical methods. Solid modeling with emphasis on aerospace design. Analysis of basic mathematical models and engineering problem solving. Written and oral technical reports, team projects.","AER E 160 or equivalent course",3,3
57,"AER E 192","Aerospace Seminar","Experimental lab set-up, graphical skills. Academic program planning.",,R,3
58,"AER E 192H","Aerospace Seminar: Honors.","Experimental lab set-up, graphical skills. Academic program planning.",,R,3
59,"AER E 261","Introduction to Performance and Design","Introduction to aerospace disciplinary topics, including: aerodynamics, structures, propulsion, and flight dynamics with emphasis on performance. Written technical reports and team projects.","AER E 161, MATH 166, PHYS 221",3,3
60,"AER E 265","Scientific Balloon Engineering and Operations","Engineering aspects of scientific balloon flights. Integration of science mission objectives with engineering requirements. Operations team certification. FAA and FCC regulations, communications, and command systems. Flight path prediction and control.",,1,3
61,"AER E 290","Aerospace Engineering Independent Study: Independent Study",,"Sophomore classification, approval of the department",1-2,3
62,"AER E 290A","Aerospace Engineering Independent Study: Flight ground instruction",,"Sophomore classification, approval of the department",1-2,3
63,"AER E 290B","Aerospace Engineering Independent Study: In-flight training",,"AER E 301",1-2,3
64,"AER E 290C","Aerospace Engineering Independent Study: Other",,"AER E 301",1-2,3
65,"AER E 291","Aerospace Advising Seminar","Academic program planning.   Offered on a satisfactory-fail basis only.",,R,3
66,"AER E 292","Aerospace Advising Seminar","Academic program planning.   Offered on a satisfactory-fail basis only.",,R,3
67,"AER E 298","Cooperative Education","First professional work period in the cooperative education program. Students must register for this course prior to commencing work.   Offered on a satisfactory-fail basis only.","Permission of department and Engineering Career Services",R,3
68,"AER E 301","Flight Experience","Two hours of in-flight training and necessary ground instruction. Course content prescribed by the Aerospace Engineering  Department. Ten hours of flight training certified in a pilot log book can be considered by the course instructor as evidence of satisfactory performance in the course.   Offered on a satisfactory-fail basis only.","Credit or enrollment in AER E 355",R,3
69,"AER E 310","Aerodynamics I: Incompressible Flow","Introduction to fluid mechanics and aerodynamics. Fluid properties and kinematics. Conservation equations in differential and integral form. Bernoulli's equation. Basic potential flow concepts and solutions. Boundary layer concept.  Incompressible flow over airfoils and wings. Examples of numerical methods. Applications of multi-variable calculus to fluid mechanics and aerodynamics.","Grade of C- or better in AER E 261 and MATH 265",3,3
70,"AER E 311","Aerodynamics II: Compressible Flow","Review of thermodynamics, energy equation, compressible flow, and isentropic flow. Normal and oblique shocks. Mach waves and expansion fans. Applications to ducts and nozzles. Compressible airfoil and wing theory.  Introduction to advanced compressible flow topics.","AER E 310, M E 231",3,3
71,"AER E 321","Flight Structures Analysis","Introduction to elasticity, airworthiness, and flight loads. Introduction to fatigue. Materials selection for flight applications. Thin walled cross-sections under bending, torsion, and shear loads using classical methods. Shear center. Column buckling. Matrix methods of structural analysis.","E M 324, Credit or enrollment in MATH 266 or 267",3,3
72,"AER E 322","Aerospace Structures Laboratory","Design of experiments. Data analysis. Strain gage installation. Measurement of stiffness/strength of aluminum. Analysis/fabrication/testing of riveted joints. Shear/bending measurements inbeam sections. Analysis/measurement of strains in frames. Buckling of columns. Stress concentration. Vibration testing of beams and plates. Fabrication/testing of composites.","Credit or enrollment in AER E 321",2,3
73,"AER E 331","Flight Control Systems I","Linear system analysis. Control system designs using root-locus and frequency response methods. Applications in flight control systems.","AER E 355",3,3
74,"AER E 344","Aerodynamics and Propulsion Laboratory","Similitude and dimensional analysis. Measurement uncertainty analysis. Pressure and velocity measurement methods and instruments. Pressure distribution around a circular cylinder. Aerodynamic performance of low-speed airfoils. Airfoil wake flow; Boundary layer flow. Flow visualization techniques for supersonic flows and de Laval nozzles.","AER E 310; Coreq: AER E 311",3,3
75,"AER E 351","Astrodynamics I","Introduction to astrodynamics. Two-body motion. Geocentric, lunar and interplanetary trajectories and applications. Launch and atmospheric re-entry trajectories.","E M 345, AER E 261, Credit or enrollment in AER E 310",3,3
76,"AER E 355","Aircraft Flight Dynamics and Control","Aircraft rigid body equations of motion, linearization, and modal analysis. Longitudinal and lateral-directional static and dynamic stability analysis. Flight handling characteristics analysis. Longitudinal and lateral-directional open loop response to aircraft control inputs. Aircraft flight handling qualities.","AER E 261, MATH 267, E M 345",3,3
77,"AER E 361","Computational Techniques for Aerospace Design","Advanced programming, workstation environment, and development of computational tools for aerospace analysis and design. Technical report writing.","AER E 310, MATH 267, E M 324, E M 345",3,3
78,"AER E 362","Aerospace Systems Integration","Emphasis on impact of component interfaces in aerospace systems. Understand how changes in variables associated with individual components impact the performance of the aerospace system. Specific integration challenges include: capturing implicit disciplinary interactions (e.g. structures/aerodynamics, propulsion/aerodynamics, etc.), propagating tolerances through the system (i.e. uncertainty modeling), balancing component attributes in the system objective.","Junior standing in Aerospace Engineering or permission of instructor",3,3
79,"AER E 381","Introduction to Wind Energy","Basic introduction to the fundamentals of Wind Energy and Wind Energy conversion systems. Topics include but not limited to various types of wind energy conversion systems and the aerodynamics, blade and tower structural loads, kinematics of the blades and meteorology.","MATH 166, PHYS 221",3,3
80,"AER E 391","Aerospace Advising Seminar","Academic program planning.   Offered on a satisfactory-fail basis only.",,R,3
81,"AER E 392","Aerospace Advising Seminar","Academic program planning.   Offered on a satisfactory-fail basis only.",,R,3
82,"AER E 396","Summer Internship","Summer professional work period. Students must register for this course prior to commencing work.   Offered on a satisfactory-fail basis only.","Permission of department and Engineering Career Services",R,3
83,"AER E 397","Engineering Internship","Students must register for this course prior to commencing work.   Offered on a satisfactory-fail basis only.  Professional work period, one semester maximum per academic year.","Permission of department and Engineering Career Services",R,3
84,"AER E 398","Cooperative Education","Second professional work period in the cooperative education program. Students must register for this course prior to commencing work.   Offered on a satisfactory-fail basis only.","AER E 298, permission of department and Engineering Career Services",R,3
85,"AER E 411","Aerospace Vehicle Propulsion I","Atmospheric propulsion system performance and cycle analysis. Momentum theorem, thrust and propulsive efficiency. Thermodynamics of compressible flow with heat and work addition. Components and principles of turbojets and turbofans. Rocket engines and ramjet principles.","AER E 311",3,3
86,"AER E 412","Aerospace Vehicle Propulsion II","Electricity and magnetism. Plasma physics. Ion engine performance. Introduction to advanced electromagnetic propulsion systems. Energy sources and nuclear propulsion. Space mission requirements.","AER E 311",3,3
87,"AER E 417","Experimental Mechanics","Introduction to fundamental concepts for force, displacement, stress and strain measurements for structures and materials applications.  Strain gage theory and application.  Full field deformation measurements with laser interferometry and digital image processing.  Advanced experimental concepts at the micro- and nano-scale regimes.  Selected laboratory experiments.","E M 324; MAT E 273",3,3
88,"AER E 421","Advanced Flight Structures","Analysis of indeterminate flight structures including finite element laboratory. Static analysis of complex structural components subject to thermal and aerodynamic loads. Analytical and finite element solutions for stresses and displacements of membrane, plane stress, plate structures. Buckling of beams, frames, and plate structures. Introduction to vibration of flight structures. Steady state and transient structural response using normal modal analysis.","AER E 321, MATH 266 or MATH 267",3,3
89,"AER E 422","Vibrations and Aeroelasticity","Vibration theory. Steady and unsteady flows. Mathematical foundations of aeroelasticity, static and dynamic aeroelasticity.  Linear unsteady aerodynamics, non-steady aerodynamics of lifting surfaces. Stall flutter. Aeroelastic problems in civil engineering structures. Aeroelastic problems of rotorcraft. Experimental aeroelasticity. Selected wind tunnel laboratory experiments.","E M 324 or AER E 321",3,3
90,"AER E 423","Composite Flight Structures","Fabrication, testing and analysis of composite materials used in flight structures. Basic laminate theory of beams, plates and shells. Manufacturing and machining considerations of various types of composites. Testing of composites for material properties, strength and defects. Student projects required.","E M 324; MAT E 273",3,3
91,"AER E 426","Design of Aerospace Structures","Detailed design and analysis of aerospace vehicle structures. Material selection, strength, durability and damage tolerance, and validation analysis. Design for manufacturability.","E M 324",3,3
92,"AER E 432","Flight Control Systems II","Aircraft lateral directional stability augmentation. Launch vehicle pitch control system design. Control of flexible vehicles. Satellite attitude control. Flight control designs based on state-space methods. Introduction to sample-data systems.","AER E 331",3,3
93,"AER E 433","Spacecraft Dynamics and Control","Three-dimensional rotational kinematics and attitude dynamics of a rigid body in space.  Stability analysis of a spinning spacecraft with or without energy dissipation.  Attitude dynamics and stability of a satellite in circular orbit.  Introduction to spacecraft attitude determination and control systems (ADCS).  Simulation of spacecraft attitude-dynamics and control problems of practical interest using MATLAB.","EM 345",3,3
94,"AER E 442","V/STOL Aerodynamics and Performance","Introduction to the aerodynamics, performance, stability, control and critical maneuvering characteristics of V/STOL vehicles. Topics include hovercrafts, jet flaps, ducted fans and thrust vectored engines.","AER E 261",3,3
95,"AER E 446","Computational Fluid Dynamics","Introduction to computational fluid dynamics. Discretization, consistency, and stability. Explicit and implicit methods for ordinary and partial differential equations. Linearization techniques. Iterative and direct solution algorithms. Numerical methods for parabolic, elliptic and hyperbolic equations. Curvilinear coordinates and numerical grid generation. Applications to Euler, boundary-layer and Navier-Stokes equations.","AER E 311, AER E 361",3,3
96,"AER E 448","Fluid Dynamics of Turbomachinery","Applications of principles of fluid mechanics and thermodynamics in performance analysis and design of turbomachines. Conceptual and preliminary design of axial and radial flow compressors and turbines using velocity triangles and through-flow approaches.","AER E 311 or M E 335",3,3
97,"AER E 451","Astrodynamics II","Orbit determination and prediction using Gibb's and Gauss' methods. Advanced orbit maneuvers, triple-, and fixed-impulse; universal variables; Kepler's problem. Earth gravity field models and gravity harmonics, orbit perturbations, advanced dynamics, variational methods, relative orbital mechanics, and Clohessy-Wiltshire equations.","AER E 351",3,3
98,"AER E 461","Modern Design Methodology with Aerospace Applications","Introduction to modern engineering design methodology. Computational constrained optimal design approach including selection of objective function, characterization of constraint system, materials and strength considerations, and sensitivity analyses.","AER E 361, AER E 311, AER E 321, AER E 351, AER E 355",3,3
99,"AER E 462","Design of Aerospace Systems","Fundamental principles used in engineering design of aircraft, missile, and space systems. Preliminary design of aerospace vehicles. Engineering Ethics.","AER E 461",3,3
100,"AER E 463","Introduction to Multidisciplinary Design Optimization","Introduction to the theory and methods of Multidisciplinary Design Optimization (MDO), including system coupling, system sensitivity methods, decomposition methods, MDO formulations (such as multi-discipline feasible (MDF), individual discipline feasible (IDF) and all-at-once (AAO) approaches, and MDO search methods.","senior standing in College of Engineering or permission of instructor",3,3
101,"AER E 464","Spacecraft Systems","An examination of spacecraft systems including attitude determination and control, power, thermal control, communications, propulsion, guidance, navigation, command and data handling, and mechanisms. Explanation of space and operational environments as they impact spacecraft design. Includes discussion of safety, reliability, quality, maintainability, testing, cost, legal, and logistics issues.","AER E 351",3,3
102,"AER E 466","Multidisciplinary Engineering Design","Application of team design concepts to projects of a multidisciplinary nature. Concurrent treatment of design, manufacturing and life cycle considerations. Application of design tools such as CAD, CAM and FEM. Design methodologies, project scheduling, cost estimating, quality control, manufacturing processes. Development of a prototype and appropriate documentation in the form of written reports, oral presentations, computer models and engineering drawings.","Student must be within two semesters of graduation and permission of instructor.",3,3
103,"AER E 467","Multidisciplinary Engineering Design II","Build and test of a conceptual design. Detail design, manufacturability, test criteria and procedures. Application of design tools such as CAD and CAM and manufacturing techniques such as rapid prototyping. Development and testing of a full-scale prototype with appropriate documentation in the form of design journals, written reports, oral presentations and computer models and engineering drawings.","Student must be within two semesters of graduation or receive permission of instructor.",3,3
104,"AER E 468","Large-Scale Complex Engineered Systems (LSCES)","Introduction to the theoretical foundation and methods associated with the design for large-scale complex engineered systems, including objective function formation, design reliability, value-driven design, product robustness, utility theory, economic factors for the formation of a value function and complexity science as a means of detecting unintended consequences in the product behavior.","senior standing in College of Engineering or permission of AerE 468 instructor",3,3
105,"AER E 480","Ultrasonic Nondestructive Evaluation","Introduction to stress/strain, Hookeâ€™s law, and elastic wave propagation in two dimensions in isotropic media. Ultrasonic plane-wave reflection and transmission; and simple straight-crested guided waves. Transducer construction, behavior, and performance. Simple signal analysis and discrete signal processing. The last few weeks of the course are devoted to case studies.","E M 324, MATH 266 or MATH 267, PHYS 222",3,3
106,"AER E 481","Advanced Wind Energy: Technology and Design","Advanced topics in wind energy, emphasis on current practices. Theoretical foundations for horizontal and vertical axis wind turbine. Design codes for energy conversion systems design, aerodynamic and structural load estimation, wind resource characterization wind farm design, optimization.","AER E 381 or senior classification in engineering or junior in engineering with a course in fluid mechanics",3,3
107,"AER E 490","Aerospace Engineering Independent Study",,"Junior or senior classification, approval of the department",1-6,3
108,"AER E 490A","Aerospace Engineering Independent Study: Aero and/or Gas Dynamics",,"Junior or senior classification, approval of the department",1-6,3
109,"AER E 490B","Aerospace Engineering Independent Study: Propulsion",,"Junior or senior classification, approval of the department",1-6,3
110,"AER E 490C","Aerospace Engineering Independent Study: Aerospace Structures",,"Junior or senior classification, approval of the department",1-6,3
111,"AER E 490D","Aerospace Engineering Independent Study: Flight Dynamics",,"Junior or senior classification, approval of the department",1-6,3
112,"AER E 490E","Aerospace Engineering Independent Study: Spacecraft Systems",,"Junior or senior classification, approval of the department",1-6,3
113,"AER E 490F","Aerospace Engineering Independent Study: Flight Control Systems",,"Junior or senior classification, approval of the department",1-6,3
114,"AER E 490G","Aerospace Engineering Independent Study: Aeroelasticity",,"Junior or senior classification, approval of the department",1-6,3
115,"AER E 490H","Aerospace Engineering Independent Study: Independent Study, Honors",,"Junior or senior classification, approval of the department",1-6,3
116,"AER E 490I","Aerospace Engineering Independent Study: Design",,"Junior or senior classification, approval of the department",1-6,3
117,"AER E 490J","Aerospace Engineering Independent Study: Non-destructive Evaluation",,"Junior or senior classification, approval of the department",1-6,3
118,"AER E 490K","Aerospace Engineering Independent Study: Wind Engineering",,"Junior or senior classification, approval of the department",1-6,3
119,"AER E 490L","Aerospace Engineering Independent Study: Multi-functional Ultra-light Structures",,"Junior or senior classification, approval of the department",1-6,3
120,"AER E 490O","Aerospace Engineering Independent Study: Other",,"Junior or senior classification, approval of the department",1-6,3
121,"AER E 491","Aerospace Advising Seminar","Academic program planning.",,R,3
122,"AER E 498","Cooperative Education","Third and subsequent professional work periods in the cooperative education program. Students must register for this course before commencing work.   Offered on a satisfactory-fail basis only.","AER E 398, permission of department and Engineering Career Services",R,3
123,"AER E 499","Senior Project","Development of aerospace principles and concepts through individual research and projects. Written report.","Senior classification, credit or enrollment in AER E 491",1-2,3
124,"AER E 514","Advanced Mechanics of Materials","Theory of stress and strain, stress-strain relationships. Unsymmetrical bending, curved beams, shear center. Torsion of thin-walled noncircular sections. Equilibrium, compatibility equations. Airy stress functions. Membrane stresses in shells, thick-walled cylinders.","E M 324",3,3
125,"AER E 517","Experimental Mechanics","Fundamental concepts for force, displacement, stress, and strain measurements. Strain gages. Full field deformation measurements with laser interferometry and digital image processing. Advanced experimental concepts at the micro and nano scale regimes.","E M 510 or E M 514 or E M 516",4,3
