"AER E 398","AER E 298, permission of department and Engineering Career Services"
"AER E 411","AER E 311"
"AER E 412","AER E 311"
"AER E 417","E M 324; MAT E 273"
"AER E 421","AER E 321, MATH 266 or MATH 267"
"AER E 422","E M 324 or AER E 321"
"AER E 423","E M 324; MAT E 273"
"AER E 426","E M 324"
"AER E 432","AER E 331"
"AER E 433","EM 345"
"AER E 442","AER E 261"
"AER E 446","AER E 311, AER E 361"
"AER E 448","AER E 311 or M E 335"
"AER E 451","AER E 351"
"AER E 461","AER E 361, AER E 311, AER E 321, AER E 351, AER E 355"
"AER E 462","AER E 461"
"AER E 463","senior standing in College of Engineering or permission of instructor"
"AER E 464","AER E 351"
"AER E 466","Student must be within two semesters of graduation and permission of instructor."
"AER E 467","Student must be within two semesters of graduation or receive permission of instructor."
"AER E 468","senior standing in College of Engineering or permission of AerE 468 instructor"
"AER E 480","E M 324, MATH 266 or MATH 267, PHYS 222"
"AER E 481","AER E 381 or senior classification in engineering or junior in engineering with a course in fluid mechanics"
"AER E 490","Junior or senior classification, approval of the department"
"AER E 490A","Junior or senior classification, approval of the department"
"AER E 490B","Junior or senior classification, approval of the department"
"AER E 490C","Junior or senior classification, approval of the department"
"AER E 490D","Junior or senior classification, approval of the department"
"AER E 490E","Junior or senior classification, approval of the department"
"AER E 490F","Junior or senior classification, approval of the department"
"AER E 490G","Junior or senior classification, approval of the department"
"AER E 490H","Junior or senior classification, approval of the department"
"AER E 490I","Junior or senior classification, approval of the department"
"AER E 490J","Junior or senior classification, approval of the department"
"AER E 490K","Junior or senior classification, approval of the department"
"AER E 490L","Junior or senior classification, approval of the department"
"AER E 490O","Junior or senior classification, approval of the department"
"AER E 491",""
"AER E 498","AER E 398, permission of department and Engineering Career Services"
"AER E 499","Senior classification, credit or enrollment in AER E 491"
"AER E 514","E M 324"
"AER E 517","E M 510 or E M 514 or E M 516"
"AER E 521","AER E 421 or E M 424"
"AER E 522","E M 324"
"AER E 524","MATH 385, proficiency in programming"
"AER E 525","E M 425, MATH 385"
"AER E 531","AER E 331"
"AER E 532","AER E 310, 311 or equivalent"
"AER E 541","AER E 310 or M E 335 or equivalent"
"AER E 545","AER E 310 or M E 335 or E M 378"
"AER E 546","AER E 310 or M E 335, and programming experience"
"AER E 547","AER E 546 or equivalent"
"AER E 551","AER E 351"
"AER E 556","AER E 331"
"AER E 563","senior standing in College of Engineering or permission of instructor"
"AER E 564","E M 324 and either MAT E 216 or MAT E 273 or MAT E 392. Undergraduates: Permission of instructor"
"AER E 565","Coursework in basic statistics"
"AER E 566","E E 565"
"AER E 568","senior standing in College of Engineering or permission of AerE 468 instructor"
"AER E 569","E M 324"
"AER E 570","E M 378, E M 345"
"AER E 572","AER E 541 or M E 538"
"AER E 573","E E 324 or AER E 331 or M E 370 or M E 411 or MATH 341"
"AER E 574","E E 577"
"AER E 575","E E 577"
"AER E 576","E E 475 or AER E 432 or M E 411 or MATH 415; and MATH 267"
"AER E 577","E E 324 or AER E 331 or MATH 415; and MATH 207"
"AER E 578","E E 577"
"AER E 581","MATH 267"
"AER E 590",""
"AER E 590A",""
"AER E 590B",""
"AER E 590C",""
"AER E 590D",""
"AER E 590E",""
"AER E 590F",""
"AER E 590G",""
"AER E 590H",""
"AER E 590I",""
"AER E 590J",""
"AER E 590K",""
"AER E 590L",""
"AER E 590M",""
"AER E 590N",""
"AER E 591",""
"AER E 599",""
"AER E 640","AerE 541"
"AER E 647","AER E 547"
"AER E 690",""
"AER E 690A",""
"AER E 690B",""
"AER E 690C",""
"AER E 690D",""
"AER E 690E",""
"AER E 690F",""
"AER E 690G",""
"AER E 690H",""
"AER E 690I",""
"AER E 690J",""
"AER E 690K",""
"AER E 690L",""
"AER E 690M",""
"AER E 697","Permission of DOGE (Director of Graduate Education), graduate classification"
"AER E 699",""
"AF AM 201",""
"AF AM 325","201 or 306 recommended."
"AF AM 330","SOC 134"
"AF AM 334","Prior course work in Religious Studies or African American Studies recommended"
"AF AM 347","ENGL 250"
"AF AM 350","3 credits in Women's Studies or African American Studies"
"AF AM 353","Sophomore classification"
"AF AM 354","Sophomore classification"
"AF AM 460",""
"AF AM 473","Sophomore classification"
"AF AM 490",""
"A B E 110",""
"A B E 160","Credit or enrollment in MATH 143 or MATH 165"
"A B E 170","Satisfactory scores in math placement assessments; credit or enrollment in MATH 142."
"A B E 201","Sophomore classification in AE, AST, BSE, or I TEC"
"A B E 216","A B E 160 or permission of the instructor"
"A B E 218","A B E 216"
"A B E 271","A B E 170 or TSM 116 or equivalent"
"A B E 272","A B E 170 or TSM 116 or equivalent"
"A B E 273","ENGR 170 or TSM 116 or equivalent. 8-week course."
"A B E 298","A B E 218 and permission from Engineering Career Services"
"A B E 316","A B E 160, A B E  218; MATH 266 or MATH 267"
"A B E 325","ECON 101, CHEM 163 or higher, MATH 140 or higher"
"A B E 340","A B E 110, A B E 216"
"A B E 342","CH E 381 or M E 231"
"A B E 363","PHYS 222"
"A B E 380","A B E 316"
"A B E 388","Junior classification in engineering"
"A B E 396","Permission of department and Engineering Career Services"
"A B E 397","A B E 218 and permission of department and Engineering Career Services"
"A B E 398","A B E 298, permission of department and Engineering Career Services"
"A B E 403","A B E 316, and A B E 363, and MATH 266 or MATH 267"
"A B E 404","A B E 316 and A B E 363 or CPR E 281"
"A B E 408","Working knowledge of computers and Windows environment"
"A B E 410","A B E 363"
"A B E 413","Credit or enrollment in E M 378 or M E 335, A B E 216 or M E 270"
"A B E 415","A B E 316 (majors only)"
"A B E 416","A B E 415 (majors only)"
"A B E 418","senior classification."
"A B E 424","Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"A B E 424A","Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"A B E 424B","Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"A B E 424C","C E 524A; PHYS 221 or CHEM 178; MATH 166 or 3 credits in statistics. Senior classification or above."
"A B E 424D","Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"A B E 424E","Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"A B E 431","E M 378 or CH E 356"
"A B E 432","A B E 431 or C E 372 or instructor permission"
"A B E 436","A B E 431/A B E 531"
"A B E 451","A B E 216 and M E 436 or CH E 357, or FS HN 351 and MATH 266 or MATH 267"
"A B E 466","Student must be within two semesters of graduation and permission of instructor."
"A B E 469","A B E 216"
"A B E 472","A B E 216, M E 231"
"A B E 475","A B E 271 or A B E 272, E M 324 and enrollment in APSE option of AE program."
"A B E 478","A B E 216, E M 324"
"A B E 480","A B E 380 or permission of the instructor"
"A B E 490",""
"A B E 490A",""
"A B E 490B",""
"A B E 490E",""
"A B E 490F",""
"A B E 490G",""
"A B E 490H",""
"A B E 490L",""
"A B E 490M",""
"A B E 495","Permission of instructor"
"A B E 496","Permission of instructor"
"A B E 498","A B E 398, permission of department and Engineering Career Services"
"A B E 501","Undergraduate training in an engineering or physical or biological discipline or degrees in agriculture or economics"
"A B E 503","A B E 316, and A B E 363, and MATH 266 or MATH 267"
"A B E 504","A B E 316 and A B E 363 or CPR E 281"
"A B E 506","A B E 316 or equivalent, MATH 166, STAT 305"
"A B E 508","Working knowledge of computers and Windows environment"
"A B E 510","A B E 363"
"A B E 515","SUSAG 509"
"A B E 524","Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"A B E 524A","Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"A B E 524B","C E 524A; Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"A B E 524C","C E 524A; PHYS 221 or CHEM 178; MATH 166 or 3 credits in statistics. Senior classification or above."
"A B E 524D","C E 524A, C E 524B; Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"A B E 524E","C E 524A, C E 524B; Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"A B E 531","E M 378 or CH E 356"
"A B E 532","A B E 431 or C E 372 or instructor permission"
"A B E 533","C E 372 or GEOL/ENSCI/MTEOR 402, MATH 266 or equivalent"
"A B E 536","A B E 431/A B E 531"
"A B E 537","CE 372 or equivalent"
"A B E 551","A B E 216 and M E 436 or CH E 357, or FS HN 351 and MATH 266 or MATH 267"
"A B E 569","A B E 216"
"A B E 572","A B E 216, M E 231"
"A B E 578","A B E 216, E M 324"
"A B E 580","A B E 216; MATH 266; BIOL 211 or BIOL 212; M E 231"
"A B E 590",""
"A B E 598",""
"A B E 599",""
"A B E 601",""
"A B E 610","Graduate classification, permission of instructor"
"A B E 690",""
"A B E 694","Graduate classification and permission of instructor"
"A B E 697","Permission of department chair, graduate classification"
"A B E 698",""
"A B E 699",""
"A B E 699B",""
"A B E 699C",""
"A B E 699E",""
"A B E 699F",""
"A B E 699O",""
"A B E 699P",""
"A B E 699Q",""
"A B E 699R",""
"A B E 699S",""
"A B E 699U",""
"AGEDS 110",""
"AGEDS 110A",""
"AGEDS 110B",""
"AGEDS 110C",""
"AGEDS 111","Permission of the Associate Dean for Academic Programs, College of Agriculture and Life Sciences"
"AGEDS 112","Enrollment as an agricultural excellence scholar"
"AGEDS 113",""
"AGEDS 116","AGEDS majors only."
"AGEDS 211","AGEDS 110"
"AGEDS 211A","AGEDS 110"
"AGEDS 211C","AGEDS 110"
"AGEDS 215","Sophomore classification"
"AGEDS 310",""
"AGEDS 311",""
"AGEDS 312","College of Agriculture and Life Sciences majors only"
"AGEDS 315",""
"AGEDS 327","ENGL 250 or equivalent."
"AGEDS 388",""
"AGEDS 398","Permission of the department cooperative education coordinator; junior classification"
"AGEDS 401","AGEDS 310"
"AGEDS 402","Concurrent enrollment in AGEDS 401"
"AGEDS 412","Junior classification in AGEDS and permission of instructor"
"AGEDS 414",""
"AGEDS 416","AGEDS 211, AGEDS 402 and admission to teacher education program"
"AGEDS 417","AGEDS 211, AGEDS 402 and admission to teacher education program"
"AGEDS 450","ECON 235, ECON 230, junior classification"
"AGEDS 451","Senior classification"
"AGEDS 461",""
"AGEDS 465","Junior or senior classification."
"AGEDS 465A","Junior or senior classification."
"AGEDS 465B","Junior or senior classification."
"AGEDS 465C","Junior or senior classification."
"AGEDS 475","Admission by invitation."
"AGEDS 488",""
"AGEDS 490","Junior or senior classification, permission of instructor"
"AGEDS 490A","Junior or senior classification, permission of instructor"
"AGEDS 490B","Junior or senior classification, permission of instructor"
"AGEDS 490C","Junior or senior classification, permission of instructor"
"AGEDS 490D","Junior or senior classification, permission of instructor"
"AGEDS 490E","Junior or senior classification, permission of instructor"
"AGEDS 490F","Junior or senior classification, permission of instructor"
"AGEDS 490G","Junior or senior classification, permission of instructor"
"AGEDS 490H","Junior or senior classification, permission of instructor"
"AGEDS 490I","Junior or senior classification, permission of instructor"
"AGEDS 496","Permission of instructor"
"AGEDS 496A","Permission of instructor"
"AGEDS 496B","Permission of instructor"
"AGEDS 499","Permission of instructor, adviser, and departmental chair"
"AGEDS 501","AGEDS 310"
"AGEDS 502","Concurrent enrollment in AGEDS 401"
"AGEDS 510","Graduate classification"
"AGEDS 511","Graduate Classification"
"AGEDS 514","Graduate classification in agriculture"
"AGEDS 520","Graduate classification"
"AGEDS 524","Graduate classification"
"AGEDS 533","Graduate classification"
"AGEDS 550","Graduate classification"
"AGEDS 561",""
"AGEDS 590","12 credits in agricultural education"
"AGEDS 590A","12 credits in agricultural education"
"AGEDS 590B","12 credits in agricultural education"
"AGEDS 590C","12 credits in agricultural education"
"AGEDS 590D","12 credits in agricultural education"
"AGEDS 590E","12 credits in agricultural education"
"AGEDS 590F","12 credits in agricultural education"
"AGEDS 590G","12 credits in agricultural education"
"AGEDS 590I","12 credits in agricultural education"
"AGEDS 590J","12 credits in agricultural education"
"AGEDS 590K","12 credits in agricultural education"
"AGEDS 590L","12 credits in agricultural education"
"AGEDS 593","12 credits in agricultural education"
"AGEDS 593A","12 credits in agricultural education"
"AGEDS 593B","12 credits in agricultural education"
"AGEDS 593C","12 credits in agricultural education"
"AGEDS 593D","12 credits in agricultural education"
"AGEDS 593E","12 credits in agricultural education"
"AGEDS 593F","12 credits in agricultural education"
"AGEDS 593G","12 credits in agricultural education"
"AGEDS 593H","12 credits in agricultural education"
"AGEDS 593M","12 credits in agricultural education"
"AGEDS 599",""
"AGEDS 615",""
"AGEDS 615A",""
"AGEDS 615B",""
"AGEDS 615C",""
"AGEDS 615D",""
"AGEDS 615E",""
"AGEDS 617","Permission of instructor"
"AGEDS 625","Graduate classification"
"AGEDS 699",""
"AGRON 105",""
"AGRON 110",""
"AGRON 114",""
"AGRON 120",""
"AGRON 154","CHEM 163"
"AGRON 155","CHEM 163, enrollment in horticulture major"
"AGRON 160",""
"AGRON 180",""
"AGRON 181",""
"AGRON 182","CHEM 163"
"AGRON 183",""
"AGRON 206",""
"AGRON 210","Sophomore classification"
"AGRON 212","AGRON 114"
"AGRON 212L","AGRON 154, credit or enrollment in AGRON 212"
"AGRON 217","BIOL 101 or equivalent"
"AGRON 259","CHEM 163, 167, or 177; BIOL 212; AGRON 154 or AGRON 260; MATH 140"
"AGRON 260",""
"AGRON 283",""
"AGRON 298","Permission of department cooperative education coordinator, sophomore classification"
"AGRON 310",""
"AGRON 311","AGRON 110, agronomy majors only, permission of instructor before internship begins"
"AGRON 316","BIOL 212 Recommended"
"AGRON 317",""
"AGRON 320","BIOL 212"
"AGRON 330","AGRON 114"
"AGRON 331","Permission of instructor"
"AGRON 334","AGRON 114"
"AGRON 338","AGRON 114 or HORT 221, BIOL 211"
"AGRON 342","Junior classification"
"AGRON 342H","Junior classification"
"AGRON 351","HORT 221 or AGRON 114 or BIOL 211"
"AGRON 351L","Credit or enrollment in HORT 351"
"AGRON 354","AGRON 154 and BIOL 101 or BIOL 211"
"AGRON 354L","Agron or Hort major with credit or enrollment in AGRON 354"
"AGRON 360","AGRON 154 or ENSCI 250 or GEOL 201"
"AGRON 370","AGRON 154 and permission of instructor"
"AGRON 388","Junior or senior classification"
"AGRON 392","AGRON 316 and AGRON 354"
"AGRON 398","Permission of department cooperative education coordinator; junior classification"
"AGRON 402I","Four courses in physical or biological sciences or engineering"
"AGRON 404","Four courses in physical or biological sciences or engineering; junior standing"
"AGRON 405","MATH 165 or MATH 182 or equivalent and some computer programming experience (any language)"
"AGRON 406","AGRON 206/MTEOR 206"
"AGRON 407","MATH 166 and MTEOR 443"
"AGRON 410","Senior classification"
"AGRON 421","GEN 320 or BIOL 313"
"AGRON 446","3-credit biology course, Sophomore or higher classification, permission of Instructor"
"AGRON 450",""
"AGRON 452","GEOL 100, GEOL 201 or equivalent"
"AGRON 459","Two semesters of college-level chemistry, MATH 140, AGRON 154 or AGRON 360; GEOL 100 and AGRON 354 recommended."
"AGRON 463","AGRON 154 or AGRON 260"
"AGRON 463I","AGRON 154 or AGRON 260"
"AGRON 477","Recommended: AGRON 154 & MATH 166"
"AGRON 484","9 cr. in biological or physical sciences"
"AGRON 485","AGRON 154 or AGRON 402, MICRO 201 (MICRO 201L recommended)"
"AGRON 488","GIS course, such as GEOL 452, CRP 451, CRP 452, NREM 345, NREM 446, AE 408 or equivalent"
"AGRON 490","Junior or senior classification with at least 8 credits in agronomy; permission of instructor in specialty area after consultation"
"AGRON 490E","Junior or senior classification with at least 8 credits in agronomy; permission of instructor in specialty area after consultation"
"AGRON 490G","Junior or senior classification with at least 8 credits in agronomy; permission of instructor in specialty area after consultation"
"AGRON 490H","Junior or senior classification with at least 8 credits in agronomy; permission of instructor in specialty area after consultation"
"AGRON 490Z","Junior or senior classification with at least 8 credits in agronomy; permission of instructor in specialty area after consultation"
"AGRON 491","AGRON 338, advanced approval and participation of employer and instructor"
"AGRON 493","Permission of instructor"
"AGRON 495","Permission of instructor"
"AGRON 496","Permission of instructor"
"AGRON 496A","Permission of instructor"
"AGRON 496B","Permission of instructor"
"AGRON 497","Jr. or Sr. classification with at least 8 credits in Agronomy"
"AGRON 498","Permission of department cooperative education coordinator; senior classification"
"AGRON 500","International agronomy graduate students only"
"AGRON 501","AGRON 114, MATH 140, CHEM 163, BIOL 101"
"AGRON 502","AGRON 114, AGRON 154, BIOL 101, CHEM 163, and MATH 140"
"AGRON 503","AGRON 114 and MATH 140"
"AGRON 504","Four courses in physical or biological sciences or engineering; junior standing"
"AGRON 505","MATH 165 or MATH 182 or equivalent and some computer programming experience (any language)"
"AGRON 506",""
"AGRON 507","MATH 166 and MTEOR 443"
"AGRON 508","AGRON 505"
"AGRON 509","Senior or above classification"
"AGRON 510","Admission to the Seed Technology and Business Master's Degree Program or approval of the instructor"
"AGRON 511","AGRON 114, MATH 140, CHEM 163, BIOL 101"
"AGRON 512","AGRON 502. Recommended AGRON 501"
"AGRON 513","AGRON 114, MATH 140, STAT 104"
"AGRON 514","AGRON 114, 501, MATH 140, CHEM 163, BIOL 101. Recommended: AGRON 502, AGRON 503"
"AGRON 515","SUSAG 509"
"AGRON 516",""
"AGRON 518","MATH 265 or equivalent"
"AGRON 519","AGRON 317; BIOL 330"
"AGRON 520","Agron 527 or AGRON 506"
"AGRON 521","AGRON 421; STAT 401"
"AGRON 522","AGRON 521"
"AGRON 523","AGRON 421 or AGRON 521, GDCB 542A"
"AGRON 524","Agron 527 or AGRON 506"
"AGRON 525","MATH 181 or 165 or equivalent, AGRON 316 or AGRON 354 or equivalent."
"AGRON 526","STAT 401"
"AGRON 528","AGRON 506 or AGRON 513"
"AGRON 530",""
"AGRON 531","AGRON 501, AGRON 502, AGRON 503. Recommended: AGRON 512,AGRON  514"
"AGRON 532","AGRON 501, AGRON 503, AGRON 512. Recommended AGRON 513"
"AGRON 533","AGRON 514"
"AGRON 534","Admission to the Seed Technology and Business Master's Degree Program or approval of the instructor"
"AGRON 535","Admission to MS in Seed Technology and Business program or by special arrangement with the instructor"
"AGRON 536","Admission to the Seed Technology and Business Master's Degree Program or approval of the instructor"
"AGRON 538","AGRON 316, CHEM 231 or CHEM 331"
"AGRON 539","Admission to the Seed Technology and Business Master's Degree Program or approval of the instructor"
"AGRON 541","AGRON 206 or upper division Biological Science"
"AGRON 544",""
"AGRON 546","SUSAG 509"
"AGRON 547","Admission to the Seed Technology and Business Master's Degree Program or approval of the instructor"
"AGRON 551","Junior or senior or graduate classification or permission of instructor"
"AGRON 552","GEOL 100, GEOL 201 or equivalent"
"AGRON 553","AGRON 354"
"AGRON 554","AGRON 354; MATH 165"
"AGRON 555","AGRON 473, CHEM 178. Recommend: GEOL 311"
"AGRON 556","3 credits in chemistry, 6 credits in biology. Recommended: ENSCI 382, 553, EEB 484/584 or upper-level coursework in nutrient cycles."
"AGRON 558","AGRON 354 and CHEM 211"
"AGRON 559","Two semesters of college-level chemistry, MATH 140, AGRON 154 or AGRON 360; GEOL 100 and AGRON 354 recommended."
"AGRON 561","STAT 401"
"AGRON 563","AGRON 154 or AGRON 260"
"AGRON 563I","AGRON 154 or AGRON 260"
"AGRON 570","Statistics 300-level or higher."
"AGRON 575","AGRON 463 or equivalent"
"AGRON 577","Recommended: AGRON 154 & MATH 166"
"AGRON 578","concurrent enrollment in AGRON 477 or 577"
"AGRON 584","9 cr. in biological or physical sciences"
"AGRON 585","AGRON 154 or AGRON 402, MICRO 201 (MICRO 201L recommended)"
"AGRON 588","GIS course, such as GEOL 452, CRP 451, CRP 452, NREM 345, NREM 446, AE 408 or equivalent"
"AGRON 590","15 credits in agronomy"
"AGRON 591","AGRON 511, AGRON 513, AGRON 531, AGRON 532, AGRON 533"
"AGRON 592","AGRON 501, AGRON 503, AGRON 511, AGRON 512, AGRON 513, AGRON 514"
"AGRON 593","Graduate classification"
"AGRON 594","AGRON 501, AGRON 502, AGRON 503, AGRON 514 (or current enrollment. Recommended: AGRON 511, AGRON 512, AGRON 513"
"AGRON 595","Admission to the Seed Technology and Business Master's Degree Program or approval of the instructor"
"AGRON 599","Nonthesis M.S. option only"
"AGRON 599A","Nonthesis M.S. option only"
"AGRON 599B","Nonthesis M.S. option only"
"AGRON 599C","Nonthesis M.S. option only"
"AGRON 599D","Nonthesis M.S. option only"
"AGRON 599E","Nonthesis M.S. option only"
"AGRON 599F","Nonthesis M.S. option only"
"AGRON 599G","Nonthesis M.S. option only"
"AGRON 599H","Nonthesis M.S. option only"
"AGRON 599I","Nonthesis M.S. option only"
"AGRON 599K","Nonthesis M.S. option only"
"AGRON 599L","Nonthesis M.S. option only"
"AGRON 599M","Nonthesis M.S. option only"
"AGRON 600",""
"AGRON 600A",""
"AGRON 600B",""
"AGRON 600C",""
"AGRON 601","graduate status in agronomic science, permission of instructor."
"AGRON 605","MTEOR 443 or equivalent-level course in engineering fluids"
"AGRON 610","Graduate classification, permission of instructor"
"AGRON 621","AGRON 521, AGRON 526, AGRON 561; GEN 410"
"AGRON 625","AGRON 521, GEN 510"
"AGRON 655","AGRON 553"
"AGRON 677","AGRON 577; MATH 266, MATH 267. Recommended: COM S 207"
"AGRON 685","AGRON 585"
"AGRON 696",""
"AGRON 698","Graduate classification in agronomy and permission of instructor"
"AGRON 699",""
"AGRON 699A",""
"AGRON 699B",""
"AGRON 699C",""
"AGRON 699D",""
"AGRON 699E",""
"AGRON 699F",""
"AGRON 699G",""
"AGRON 699H",""
"AGRON 699I",""
"AGRON 699J",""
"AGRON 699K",""
"AGRON 699L",""
"AFAS 101","Membership as a cadet in AFROTC"
"AFAS 102","Membership as a cadet in AFROTC"
"AFAS 141",""
"AFAS 142",""
"AFAS 151","Membership as a cadet in AFROTC"
"AFAS 201","Membership as a cadet in AFROTC"
"AFAS 202","Membership as a cadet in AFROTC"
"AFAS 241",""
"AFAS 242",""
"AFAS 301","Membership as a cadet in AFROTC"
"AFAS 302","Membership as a cadet in AFROTC"
"AFAS 341",""
"AFAS 342","AFAS 341"
"AFAS 401","Membership as a cadet in AFROTC"
"AFAS 402","Membership as a cadet in AFROTC"
"AFAS 441",""
"AFAS 442",""
"AM IN 210",""
"AM IN 240","Credit in or exemption from ENGL 150"
"AM IN 310","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended"
"AM IN 310A","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended"
"AM IN 310B","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended"
"AM IN 310C","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended"
"AM IN 310D","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended"
"AM IN 310E","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended"
"AM IN 310F","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended"
"AM IN 310G","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended"
"AM IN 315","ANTHR 202"
"AM IN 320","ANTHR 202"
"AM IN 322","ANTHR 201 or AM IN 210"
"AM IN 323","ANTHR 201 or ANTHR 306 recommended"
"AM IN 323A","ANTHR 201 or ANTHR 306 recommended"
"AM IN 323B","ANTHR 201 or ANTHR 306 recommended"
"AM IN 323C","ANTHR 201 or ANTHR 306 recommended"
"AM IN 323D","ANTHR 201 or ANTHR 306 recommended"
"AM IN 332","ANTHR 201 or ANTHR 306; ANTHR 322 or AM IN 210 recommended"
